dataset,model,f1,f0.5,precision,recall,tnr,train_time,predict_time,total_negatives,channels
ESA,esa_dpmm_new_cluster_single,0.4584179519489779,0.6242504502099528,0.8226446947897857,0.31773879142300193,0.9992861936710281,17.254664182662964,4.323792099952698,867164,6
ESA,esa_dpmm_new_cluster_diagonal,0.37669790026178873,0.4499568338550852,0.5169844217343667,0.2962962962962963,0.9965554971590096,16.86343765258789,4.146371841430664,867164,6
ESA,esa_rocket_dpmm_new_cluster_diagonal,0.36854789489681383,0.3640939543970336,0.3611839897814258,0.3762183235867446,0.9993380857164839,26.459475715955097,4.986317237218221,867164,6
ESA,esa_dpmm_new_cluster_full,0.3471781861213878,0.4426803811532889,0.5420935464315552,0.2553606237816764,0.9972866006870595,209.44178382555643,8.890755494435629,867164,6
ESA,esa_dpmm_new_cluster_unit,0.28605523538137806,0.2716266335108947,0.2627898999639426,0.3138401559454191,0.9972958315401798,13.815510710080465,4.10113525390625,867164,6
ESA,esa_rocket_dpmm_new_cluster_full,0.25120642710882585,0.21462618239084272,0.19563423664571794,0.3508771929824561,0.9988214637634155,10278.598147471746,213.5856383641561,867164,6
ESA,esa_rocket_logistic_regression_experiment,0.2507773947722382,0.2365345138637266,0.2279052733899511,0.2787524366471735,0.9992769679405549,1.317873517672221,1.056573708852132,867164,6
ESA,esa_logistic_regression_experiment,0.23754242449537233,0.20630061199381097,0.18967020452197622,0.31773879142300193,0.9983867207353104,1.0444910923639934,0.9164600372314453,867164,6
ESA,esa_rocket_xgboost_experiment,0.2154265517377773,0.16716663668618714,0.14544489927141813,0.4152046783625731,0.9976290978194455,1.3842312494913738,1.1194653511047363,867164,6
ESA,esa_rocket_dpmm_new_cluster_single,0.21137424404010102,0.21071887415387835,0.21028421400238256,0.2124756335282651,0.9993323197544419,26.290867408116657,5.113322337468465,867164,6
ESA,esa_rocket_dpmm_new_cluster_unit,0.17730494605048616,0.3486749204685719,0.9803910263132677,0.09746588693957114,0.9999988468395331,20.347641110420227,4.805954813957214,867164,6
ESA,esa_rocket_dpmm_new_cluster_experiment,0.1568379639566416,0.10956968900756127,0.09123797982461253,0.5581395348837209,0.9960146130853534,9751.10457277298,206.20842123031616,144525,1
ESA,esa_rocket_dpmm_likelihood_experiment,0.10901484348686172,0.07481046861575312,0.06186914057060827,0.4580896686159844,0.9951717079016991,9806.413255055746,204.44777353604636,867164,6
ESA,esa_dpmm_likelihood_unit,0.038283348319748,0.0244536877889641,0.01970752674299101,0.6666666666666666,0.9748887059588359,14.757776697476706,4.308576663335164,867164,6
ESA,esa_rocket_dpmm_likelihood_unit,0.02830669858511382,0.01803878997750655,0.014526030158480112,0.5516569200779727,0.9720634598632379,17.366215586662292,4.82439919312795,867164,6
ESA,esa_rocket_dpmm_likelihood_diagonal,0.023439226195893184,0.014856271708275755,0.011941194549691945,0.631578947368421,0.9620032720248739,22.61357355117798,4.95737886428833,867164,6
ESA,esa_dpmm_likelihood_diagonal,0.02282168196766842,0.014834865461224566,0.012028489287229703,0.2222222222222222,0.9871802260642202,17.113176941871643,4.273924430211385,867164,6
ESA,esa_rocket_dpmm_likelihood_full,0.021282035374831892,0.01347150080226657,0.010823372882696204,0.631578947368421,0.9572337961532708,10232.72785782814,213.5281043847402,867164,6
ESA,esa_rocket_dpmm_likelihood_single,0.020309700680024436,0.012855588066640682,0.010328415640776158,0.6042884990253411,0.9600428925450485,22.740414301554363,4.919700582822164,867164,6
ESA,esa_dpmm_likelihood_single,0.018124380300327855,0.011440418625689064,0.009182783010357416,0.6900584795321637,0.9504958617669956,17.854512055714924,4.339393178621928,867164,6
ESA,esa_xgboost_experiment,0.009810825556058516,0.006177669402018021,0.004954498925188902,0.4951267056530214,0.9349178483634019,1.1702039241790771,0.9542994896570841,867164,6
ESA,esa_dpmm_likelihood_full,0.004564200519194848,0.0028878424864039907,0.002319820457534481,0.14035087719298245,0.9596001762048535,180.56093521912894,9.462072014808655,867164,6
ESA,esa_rocket_ocsvm_experiment,0.001206581358758779,0.0007547977269440892,0.0006040209031796739,0.49902534113060426,0.48424780510112003,409.895258585612,379.09902743498486,867164,6
ESA,esa_ocsvm_experiment,0.0009381601702159011,0.0005868642637579946,0.0004696286799894293,0.4015594541910331,0.47967782184085356,394.0048738718033,333.8642150561015,867164,6
ESA,esa_dpmm_likelihood_experiment,0.0,0.0,0.0,0.0,1.0,189.73305281003317,8.092985908190409,867164,6
ESA,esa_dpmm_new_clusters_experiment,0.0,0.0,0.0,0.0,1.0,188.26036528746286,8.060629685719809,867164,6
NASA,nasa_esn_gb,0.6547274265223672,0.6739611519200963,0.6874239798851662,0.625,0.9729693253759275,35.03724307839463,0.21840740413200566,8814,82
NASA,nasa_dpmm_likelihood_experiment,0.5054700437668269,0.4918125270533789,0.4831102813925708,0.53,0.9935664277696267,2.321635438174736,2.146477824304162,8814,82
NASA,nasa_rocket_dpmm_new_cluster,0.49117093034209675,0.47048942109131064,0.4576429141321301,0.53,0.9929987759470748,9.88501342331491,3.1801402423439957,8814,82
NASA,nasa_dpmm_new_cluster_single,0.32351557031294,0.5139627926886495,0.8459645228097283,0.2,0.9305609750907012,2.1956718142439677,2.1259813861149115,8814,82
NASA,nasa_dpmm_new_cluster_full,0.3139654182880099,0.3709057591602988,0.42191808560367056,0.25,0.9282197883280753,2.26901514937238,2.117681796957807,8814,82
NASA,nasa_dpmm_new_cluster_diagonal,0.3102909948682404,0.5003614457012231,0.8457341904899098,0.19,0.9347588421204267,2.1956770158395535,2.1281080449499736,8814,82
NASA,nasa_dpmm_new_cluster_unit,0.2913708832080449,0.2986477884717296,0.3037044095314384,0.28,0.900266642539621,2.219004247246719,2.157635636445953,8814,82
NASA,nasa_rocket_dpmm_new_cluster_unit,0.20743711596171488,0.2523225727488929,0.29485686012261153,0.16,0.995141902913814,2.196464000678644,2.102967750735399,8814,82
NASA,nasa_rocket_dpmm_diagonal,0.19194820914232336,0.1306546751350818,0.10772247768222853,0.88,0.7210061290321887,2.231740396197249,2.130747719508846,8814,82
NASA,nasa_rocket_dpmm_single,0.18176943502487575,0.1232634520819957,0.10148652710721694,0.87,0.7430680203137607,2.2302332593173517,2.117477248354656,8814,82
NASA,nasa_rocket_dpmm_full,0.17830377523268023,0.12049219669308942,0.09907644002853197,0.89,0.735837380436625,7.244036718112667,2.3634045443883758,8814,82
NASA,nasa_ocsvm_experiment,0.10323494836023356,0.06835708174930104,0.055791090363161794,0.69,0.2619755547487597,0.010072934918287275,0.02063590433539409,8814,82
NASA,nasa_rocket_dpmm_unit,0.09622225199025204,0.06253958559130063,0.05070638254780081,0.94,0.468224894164799,2.189849847700538,2.103719263541989,8814,82
NASA,nasa_rocket_dpmm_new_cluster_diagonal,0.08770831279888343,0.16019775949590684,0.3567789814522614,0.05,0.9989811480663319,2.2728698340857902,2.1505597539064363,8814,82
NASA,nasa_dpmm_likelihood_diagonal,0.07915326482296477,0.05104852132566119,0.04127762809076458,0.9603960396039604,0.6957620817360834,2.2913998743382895,2.2385203809272953,8814,82
NASA,nasa_dpmm_likelihood_single,0.07364854843964827,0.04739323480257386,0.0382925165618286,0.9603960396039604,0.6845280795691835,2.2276868849265865,2.1755153609485163,8814,82
NASA,nasa_dpmm_likelihood_unit,0.07000323717135937,0.04499470798469883,0.036339818579520414,0.9504950495049505,0.6779647403741778,2.219488998738731,2.202579207536651,8814,82
NASA,nasa_dpmm_likelihood_full,0.06893703695220467,0.04427748397175099,0.03575164133272747,0.9603960396039604,0.6807554798097695,2.5317674497278726,2.2453830969042894,8814,82
NASA,nasa_rocket_ocsvm,0.06746986769491352,0.0434468743728502,0.03511227122781042,0.86,0.15473896273651336,0.019795473028973793,0.01214085264903739,8814,82
NASA,nasa_rocket_dpmm_new_cluster_full,0.055552752409304205,0.11361760092462642,0.3747447243022464,0.03,0.9993192648059904,7.166904932115136,2.310097139056136,8814,82
NASA,nasa_rocket_dpmm_new_cluster_single,0.0,0.0,0.0,0.0,1.0,2.1977012157440186,2.265501022338867,169,1
NASA,nasa_rockad,0.0,0.0,0.0,0.81,0.0,0.0376650007759652,1.7805290512922334,8814,82
OPS_SAT,ops_sat_rocket_ridge,0.9972309065783196,0.9955767994785912,0.9944771065645198,1.0,0.9996298376866157,0.10059258341789241,0.05216941237449641,2697,8
OPS_SAT,ops_sat_rocket_xgboost,0.9944245997631518,0.9973192727548909,0.9992584352984798,0.9896373056994818,0.9992584352984798,1.1646632850170135,0.03800302743911739,2697,8
OPS_SAT,ops_sat_xgboost,0.9891656018052799,0.9951966869175367,0.9992584352984798,0.9792746113989638,0.9992584352984798,0.36004579067230225,0.27324333786964417,2697,8
OPS_SAT,ops_sat_dpmm_unit,0.5728224240372897,0.5335783176771601,0.5102724490263986,0.6528497409326425,0.9476488339061688,2.4049280484517417,2.3407662179734974,2879,9
OPS_SAT,ops_sat_dpmm_new_cluster_unit,0.5622717803675116,0.536410746261054,0.5204523475176073,0.6113989637305699,0.9482818196295387,2.242675198449029,2.162500196033054,2879,9
OPS_SAT,ops_sat_dpmm_new_cluster_full,0.5617407967403305,0.5380552560694878,0.5233442117766794,0.6062176165803109,0.9482818196295387,2.4689177142249212,2.188735908932156,2879,9
OPS_SAT,ops_sat_dpmm_full,0.5251261281908077,0.5143953783504608,0.5074819136023139,0.5440414507772021,0.9472995720576526,2.839459710650974,2.349833753373888,2879,9
OPS_SAT,ops_sat_dpmm_new_cluster_single,0.5090529713559807,0.49805825759811,0.4909885563564109,0.5284974093264249,0.9482818196295387,2.2597667111290827,2.1769231160481772,2879,9
OPS_SAT,ops_sat_dpmm_single,0.49863752756887453,0.4849169031422971,0.47618175236081123,0.5233160621761658,0.9476488339061688,2.4276034037272134,2.3413087262047663,2879,9
OPS_SAT,ops_sat_dpmm_new_cluster_diagonal,0.49538440522076993,0.48540907287162605,0.47897908236389963,0.5129533678756477,0.9482818196295387,2.3105568091074624,2.150531530380249,2879,9
OPS_SAT,ops_sat_dpmm_diagonal,0.4877838025710287,0.47931118351350877,0.4738244169530844,0.5025906735751295,0.9476488339061688,2.4340701897939048,2.3258846600850425,2879,9
OPS_SAT,ops_sat_rocket_dpmm_diagonal,0.48115787294205475,0.36991518701925336,0.320513780144209,0.9646464646464646,0.9497947621027345,21.500089089075725,11.957000308566624,2879,9
OPS_SAT,ops_sat_rocket_dpmm_single,0.4729772502529008,0.36220899389969946,0.31329459600093085,0.9646464646464646,0.9497255030604135,20.83364224433899,21.542688873079086,2879,9
OPS_SAT,ops_sat_rocket_dpmm_unit,0.4539898448075072,0.34267870023989977,0.2945351243668371,0.98989898989899,0.9497255030604135,14.945818821589151,6.758777936299641,2879,9
OPS_SAT,ops_sat_rocket_dpmm,0.2806940675071308,0.4358677786570889,0.6902623501641018,0.17616580310880828,0.9947898575894408,22.21969477335612,3.481024079852634,2879,9
OPS_SAT,ops_sat_rocket_dpmm_new_cluster,0.258050916449572,0.4057053732317557,0.6559088927154079,0.16062176165803108,0.9944425147620701,27.420993672476875,4.014542818069458,2879,9
OPS_SAT,ops_sat_rocket_dpmm_new_cluster_diagonal,0.24344024605857675,0.3876943795124858,0.6408629539577786,0.15025906735751296,0.9944425147620701,4.154473198784722,2.843196603986952,2879,9
OPS_SAT,ops_sat_rocket_dpmm_new_cluster_single,0.2350301574522562,0.37426231988836023,0.6185481069815908,0.14507772020725387,0.9940951719346995,4.130865971247355,2.8539402219984265,2879,9
OPS_SAT,ops_sat_rocket_dpmm_new_cluster_unit,0.21254046662124212,0.3453064663718281,0.5917255161137863,0.12953367875647667,0.994098867071161,3.7752575079600015,2.8208635913001165,2879,9
OPS_SAT,ops_sat_ridge,0.19704794491804012,0.1352063698791622,0.1118122478159526,0.8290155440414507,0.48149149215744586,0.2421637641059028,0.24840444988674587,2879,9
OPS_SAT,ops_sat_ocsvm,0.19704794491804012,0.1352063698791622,0.1118122478159526,0.8290155440414507,0.48149149215744586,0.24129962921142578,0.2514757845136854,2879,9
